City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.98,76,7,7.58,PN,1733784057
1,callao,-12.0667,-77.15,23.73,77,0,5.66,PE,1733783976
2,grytviken,-54.2811,-36.5092,1.31,73,24,4.05,GS,1733783828
3,great falls,47.5002,-111.3008,4.25,37,100,6.69,US,1733784061
4,lauro de freitas,-12.8944,-38.3272,27.01,69,20,6.69,BR,1733784058
5,badger,64.8,-147.5333,1.95,75,75,2.57,US,1733783873
6,ust-nera,64.5667,143.2,-23.78,99,100,1.39,RU,1733783912
7,usogorsk,63.4106,48.6872,-6.6,95,97,3.42,RU,1733784068
8,tiksi,71.6872,128.8694,-28.27,99,85,2.44,RU,1733784069
9,constantia,44.1833,28.65,6.5,83,3,3.01,RO,1733784071
10,mejit,10.2753,170.8646,27.85,71,19,8.2,MH,1733783846
11,korla,41.7597,86.1469,-3.19,95,100,2.22,CN,1733783952
12,la passe,45.5549,-0.8967,6.02,80,100,5.61,FR,1733784074
13,college,64.8569,-147.8028,1.99,75,75,2.57,US,1733784075
14,altamont,42.2068,-121.7372,5.99,62,0,1.34,US,1733784077
15,bethel,41.3712,-73.414,8.05,89,100,4.12,US,1733783976
16,saudarkrokur,65.7461,-19.6394,1.96,67,23,11.92,IS,1733784080
17,unai,-16.3575,-46.9061,26.22,61,88,0.33,BR,1733784081
18,azangaro,-14.9167,-70.2167,11.2,63,99,2.5,PE,1733784083
19,carnarvon,-24.8667,113.6333,23.78,83,100,2.1,AU,1733784084
20,thompson,55.7435,-97.8558,-11.91,85,100,1.54,CA,1733784085
21,namibe,-15.1961,12.1522,23.69,72,56,0.27,AO,1733784086
22,cassilandia,-19.1133,-51.7342,25.65,73,100,0.35,BR,1733784087
23,puerto natales,-51.7236,-72.4875,13.25,50,75,8.23,CL,1733784089
24,castillos,-34.1667,-53.8333,14.71,72,14,3.2,UY,1733784090
25,port-aux-francais,-49.35,70.2167,3.79,77,94,12.48,TF,1733784091
26,iqaluit,63.7506,-68.5145,-20.73,70,0,4.63,CA,1733784092
27,waitangi,-43.9535,-176.5597,14.06,97,98,3.62,NZ,1733784093
28,yakeshi,49.2833,120.7333,-24.9,100,100,2.35,CN,1733784094
29,margaret river,-33.95,115.0667,14.98,73,0,5.6,AU,1733784095
30,iskateley,67.6803,53.1512,-0.44,94,100,6.52,RU,1733784096
31,hawaiian paradise park,19.5933,-154.9731,27.16,79,40,4.12,US,1733784098
32,invercargill,-46.4,168.35,11.68,83,97,4.02,NZ,1733784099
33,nar'yan-mar,67.6713,53.087,-0.48,94,100,6.49,RU,1733784100
34,punta arenas,-53.15,-70.9167,12.06,54,0,7.72,CL,1733783927
35,mar del plata,-38.0023,-57.5575,18.86,69,1,0.89,AR,1733784063
36,wailua homesteads,22.0669,-159.378,25.44,83,20,5.14,US,1733784103
37,manacapuru,-3.2997,-60.6206,27.5,78,69,1.66,BR,1733784104
38,bilibino,68.0546,166.4372,-27.54,97,87,0.48,RU,1733784105
39,nampula,-15.1165,39.2666,24.97,78,75,3.6,MZ,1733784107
40,albany,42.6001,-73.9662,1.41,94,100,0.73,US,1733784108
41,vernal,40.4555,-109.5287,1.84,35,100,6.69,US,1733784085
42,olonkinbyen,70.9221,-8.7187,-4.75,84,99,4.09,SJ,1733784111
43,yellowknife,62.456,-114.3525,-23.1,92,20,5.14,CA,1733783840
44,barvinkove,48.9097,37.0205,2.38,88,92,5.8,UA,1733784113
45,lodwar,3.1191,35.5973,29.0,39,57,4.08,KE,1733784115
46,dryden,49.7833,-92.7503,-9.84,85,100,2.57,CA,1733783885
47,castellammare del golfo,38.0188,12.8858,12.62,91,85,3.58,IT,1733784117
48,conduaga,8.862,117.4893,25.78,88,100,1.29,PH,1733783937
49,sarmiento,-45.5882,-69.07,19.45,30,75,9.36,AR,1733784119
50,badamdar,40.3394,49.8039,4.97,63,92,6.21,AZ,1733784120
51,trn,44.8597,17.2364,3.84,100,100,1.54,BA,1733784121
52,hermanus,-34.4187,19.2345,14.89,71,100,0.66,ZA,1733784122
53,ola,59.5833,151.2833,-14.61,80,94,5.54,RU,1733784124
54,port mathurin,-19.6833,63.4167,24.77,78,100,6.37,MU,1733784125
55,brookings,44.3114,-96.7984,-2.12,79,100,9.77,US,1733784126
56,manta,-0.95,-80.7333,27.88,65,40,5.14,EC,1733784005
57,puerto ayora,-0.7393,-90.3518,23.08,92,73,2.24,EC,1733783916
58,borogontsy,62.6683,131.1683,-26.76,98,100,1.79,RU,1733784129
59,touros,-5.1989,-35.4608,26.08,72,78,6.67,BR,1733784130
60,khandyga,62.6667,135.6,-34.43,100,90,1.03,RU,1733784131
61,longyearbyen,78.2186,15.6401,-3.09,68,75,5.66,SJ,1733784133
62,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.06,GF,1733784134
63,ballina,-28.8667,153.5667,24.17,89,100,3.87,AU,1733784135
64,zhangzhou,24.5133,117.6556,11.66,94,4,0.9,CN,1733784137
65,bear valley springs,35.1591,-118.6284,15.16,28,6,0.97,US,1733784138
66,anaconda,46.1285,-112.9423,-2.57,61,82,2.88,US,1733784139
67,alaghsas,17.0187,8.0168,19.67,20,7,4.23,NE,1733784140
68,fort stockton,30.894,-102.8793,23.03,12,20,6.17,US,1733784128
69,diego de almagro,-26.3667,-70.05,21.89,32,57,3.68,CL,1733784143
70,naze,28.3667,129.4833,13.51,61,74,3.47,JP,1733784144
71,beykonak,36.3257,30.303,16.46,82,98,2.52,TR,1733784145
72,reyes,-14.3167,-67.3833,30.98,62,20,2.57,BO,1733784146
73,manokwari,-0.8667,134.0833,26.57,83,66,1.21,ID,1733784147
74,ribeira grande,38.5167,-28.7,18.76,81,100,9.39,PT,1733784148
75,enoch,37.7733,-113.0244,2.14,41,0,6.69,US,1733784150
76,balabac,7.9868,117.0645,27.78,83,100,5.63,PH,1733784152
77,bubaque,11.2833,-15.8333,26.4,63,79,4.33,GW,1733784153
78,port alfred,-33.5906,26.891,22.88,95,59,1.34,ZA,1733784154
79,ormara,25.2088,64.6357,21.45,44,1,3.29,PK,1733784155
80,choibalsan,48.0667,114.5,-10.33,73,99,2.41,MN,1733784156
81,kodiak,57.79,-152.4072,6.73,93,100,8.75,US,1733784157
82,salanso,12.1833,-4.0833,23.49,20,16,2.56,BF,1733784159
83,san antonio de pale,-1.4014,5.6325,26.42,81,90,1.73,GQ,1733784160
84,talnakh,69.4865,88.3972,-12.99,96,100,5.89,RU,1733784161
85,uliastay,47.7417,96.8444,-16.03,73,96,2.18,MN,1733784162
86,mangai,-4.05,19.5333,22.08,84,61,0.29,CD,1733784163
87,yuzhno-kurilsk,44.0306,145.8556,-0.83,58,100,12.28,RU,1733784165
88,vigan,17.5747,120.3869,25.18,74,68,3.6,PH,1733784166
89,kidal,18.4411,1.4078,17.6,14,7,3.29,ML,1733784168
90,port macquarie,-31.4333,152.9167,26.71,79,67,1.24,AU,1733784169
91,georgetown,5.4112,100.3354,25.96,83,40,2.57,MY,1733784041
92,lihue,21.9789,-159.3672,25.77,78,20,5.14,US,1733783948
93,newman,37.3138,-121.0208,13.91,61,1,2.68,US,1733784172
94,hamilton,39.1834,-84.5333,12.1,86,100,3.6,US,1733784173
95,laguna,38.421,-121.4238,17.84,38,0,4.63,US,1733784175
96,kincardine,56.0667,-3.7167,4.15,90,10,1.38,GB,1733784177
97,kerikeri,-35.2268,173.9474,20.51,92,95,2.41,NZ,1733784178
98,nantucket,41.2835,-70.0995,8.06,87,100,9.12,US,1733784097
99,lake havasu city,34.4839,-114.3224,21.24,8,0,13.38,US,1733784180
100,shahin dezh,36.6793,46.5669,1.62,88,7,1.13,IR,1733784181
101,maroantsetra,-15.4333,49.7333,24.16,85,65,1.18,MG,1733784182
102,atafu village,-8.5421,-172.5159,28.21,70,80,3.69,TK,1733784183
103,ushuaia,-54.8,-68.3,9.81,66,75,7.72,AR,1733784184
104,rio grande,-32.035,-52.0986,18.82,63,79,5.91,BR,1733783943
105,grants pass,42.439,-123.3284,10.01,58,0,0.0,US,1733784187
106,luanco,43.6152,-5.7934,8.9,95,86,1.57,ES,1733784188
107,tolanaro,-25.0319,46.9987,24.04,88,75,4.12,MG,1733784189
108,loukhi,66.0764,33.0381,-1.28,86,100,5.27,RU,1733784190
109,boyalik,41.2634,28.6314,13.33,86,31,5.18,TR,1733784191
110,blackmans bay,-43.0167,147.3167,13.18,83,88,0.45,AU,1733784192
111,arraial do cabo,-22.9661,-42.0278,24.98,94,100,4.12,BR,1733784193
112,ulladulla,-35.35,150.4667,19.77,77,33,4.35,AU,1733784195
113,udachny,66.4167,112.4,-36.3,100,98,1.92,RU,1733784196
114,kapuskasing,49.4169,-82.4331,-9.95,92,100,6.69,CA,1733784197
115,tarnogskiy gorodok,60.4997,43.5761,-7.87,96,86,2.91,RU,1733784198
116,rongelap,11.1635,166.8941,27.74,78,10,9.97,MH,1733784199
117,port augusta,-32.5,137.7667,23.84,45,40,8.1,AU,1733784200
118,plettenberg bay,-34.0527,23.3716,18.58,87,51,2.6,ZA,1733784201
119,bredasdorp,-34.5322,20.0403,17.32,72,100,1.42,ZA,1733784203
120,dzerzhinskoye,56.8344,95.2283,-14.99,73,72,4.12,RU,1733784204
121,benguela,-12.5763,13.4055,26.47,83,98,2.45,AO,1733784205
122,egilsstadir,65.2653,-14.3948,5.95,52,0,6.69,IS,1733784206
123,papatowai,-46.5619,169.4708,13.63,74,95,4.6,NZ,1733783950
124,avarua,-21.2078,-159.775,26.03,83,75,8.75,CK,1733784208
125,udangudi,8.4333,78.0167,25.06,86,85,4.07,IN,1733784209
126,beau vallon,-20.4189,57.6953,25.13,88,75,2.06,MU,1733784211
127,porto novo,6.4965,2.6036,26.9,74,84,2.26,BJ,1733784212
128,tchintabaraden,15.8969,5.7985,20.46,25,0,4.84,NE,1733784213
129,laojunmiao,39.8333,97.7333,-10.77,95,100,2.23,CN,1733784214
130,san patricio,28.017,-97.5169,26.97,48,17,2.15,US,1733784216
131,prado,-17.3411,-39.2208,25.46,85,7,6.03,BR,1733784217
132,yangquan,37.8575,113.5633,0.08,31,46,1.01,CN,1733784218
133,margate,51.3813,1.3862,7.71,81,100,2.68,GB,1733784220
134,saint-pierre,-21.3393,55.4781,22.82,64,0,2.57,RE,1733784221
135,oriximina,-1.7656,-55.8661,28.91,58,87,1.88,BR,1733784222
136,fu'an,27.0892,119.6453,10.21,90,24,0.9,CN,1733784223
137,ilulissat,69.2167,-51.1,-3.99,58,75,6.17,GL,1733784224
138,edinburgh of the seven seas,-37.0676,-12.3116,14.08,67,89,8.62,SH,1733784225
139,rampachodavaram,17.45,81.7667,19.8,94,99,0.83,IN,1733784226
140,kalmunai,7.4167,81.8167,23.46,90,96,3.97,LK,1733784227
141,juneau,58.3019,-134.4197,3.01,95,100,7.72,US,1733784229
142,saipan,15.1355,145.701,29.39,74,40,5.14,MP,1733784230
143,sao jose da coroa grande,-8.8978,-35.1478,25.66,74,13,5.88,BR,1733784231
144,katsuren-haebaru,26.3369,127.8719,17.01,73,20,3.6,JP,1733784232
145,castelli,-25.9468,-60.6195,16.32,91,100,2.06,AR,1733784233
146,conceicao do mato dentro,-19.0372,-43.425,21.99,81,93,1.0,BR,1733784234
147,dire,12.2833,-10.9667,24.87,25,99,0.33,ML,1733784235
148,codrington,-38.2667,141.9667,15.87,57,100,4.05,AU,1733784236
149,the pas,53.8251,-101.2541,-8.99,79,100,5.66,CA,1733784139
150,bodo,67.28,14.405,7.19,97,75,17.49,NO,1733784239
151,keflavik,64.0049,-22.5624,4.24,65,40,8.75,IS,1733784241
152,christchurch,-43.5333,172.6333,23.51,26,2,2.06,NZ,1733784217
153,formosa do rio preto,-11.0483,-45.1931,28.55,48,98,1.88,BR,1733784245
154,quincy,42.2529,-71.0023,7.22,90,100,7.2,US,1733784203
155,stanley,54.868,-1.6985,5.29,79,20,2.57,GB,1733784247
156,meadow lakes,61.6247,-149.6011,5.93,73,100,6.69,US,1733784248
